# packages in environment at /ssu/gassu/conda_envs/renv_latest:
#
# Name                    Version                   Build  Channel
r-rainbow                 3.7               r42hc72bb7e_2    conda-forge
r-ranger                  0.15.1            r42ha503ecb_1    conda-forge
r-rann                    2.6.1             r42h7525677_3    conda-forge
r-rappdirs                0.3.3             r42h06615bd_1    conda-forge
r-rcmdcheck               1.4.0             r42h785f33e_1    conda-forge
r-rcolorbrewer            1.1_3             r42h785f33e_1    conda-forge
r-rcpp                    1.0.10            r42h38f115c_0    conda-forge
r-rcppannoy               0.0.20            r42h7525677_0    conda-forge
r-rcpparmadillo           0.11.4.4.0        r42h358215d_0    conda-forge
r-rcppeigen               0.3.3.9.3         r42h9f5de39_0    conda-forge
r-rcppparallel            5.1.6             r42h38f115c_0    conda-forge
r-rcppprogress            0.4.2             r42hc72bb7e_2    conda-forge
r-rcpptoml                0.1.7             r42h7525677_2    conda-forge
r-rcurl                   1.98_1.10         r42h133d619_0    conda-forge
r-readr                   2.1.4             r42h38f115c_0    conda-forge
r-readxl                  1.4.2             r42h81ef4d7_0    conda-forge
r-recipes                 1.0.5             r42hc72bb7e_0    conda-forge
r-rematch                 1.0.1           r42hc72bb7e_1005    conda-forge
r-rematch2                2.1.2             r42hc72bb7e_2    conda-forge
r-remotes                 2.4.2             r42hc72bb7e_1    conda-forge
r-repr                    1.1.4             r42h6115d3f_0    r
r-reshape                 0.8.9             r42hc72bb7e_2    conda-forge
r-reshape2                1.4.4             r42h7525677_2    conda-forge
r-restfulr                0.0.15            r42h73dbb54_1    bioconda
r-reticulate              1.26              r42h7525677_1    conda-forge
r-rgeos                   0.6_2             r42h0d5128d_1    conda-forge
r-rio                     0.5.29            r42hc72bb7e_1    conda-forge
r-rjson                   0.2.21            r42h7525677_2    conda-forge
r-rlang                   1.1.0             r42h38f115c_0    conda-forge
r-rmarkdown               2.20              r42hc72bb7e_0    conda-forge
r-robcompositions         2.4.1             r42ha503ecb_0    conda-forge
r-robustbase              0.99_0            r42hd9ac46e_0    conda-forge
r-robusthd                0.8.0             r42h08d816e_0    conda-forge
r-rocr                    1.0_11            r42hc72bb7e_2    conda-forge
r-roxygen2                7.2.3             r42h38f115c_0    conda-forge
r-rpart                   4.1.19            r42h06615bd_0    conda-forge
r-rprojroot               2.0.3             r42hc72bb7e_1    conda-forge
r-rrcov                   1.7_4             r42h13b3f57_0    conda-forge
r-rspectra                0.16_1            r42h9f5de39_1    conda-forge
r-rsqlite                 2.3.0             r42h38f115c_0    conda-forge
r-rstatix                 0.7.2             r42hc72bb7e_0    conda-forge
r-rstudioapi              0.14              r42hc72bb7e_1    conda-forge
r-rtsne                   0.16              r42h37cf8d7_1    conda-forge
r-rttf2pt1                1.3.10            r42h76d94ec_0  
r-rversions               2.1.2             r42hc72bb7e_1    conda-forge
r-sandwich                3.0_2             r42hc72bb7e_2    conda-forge
r-sass                    0.4.5             r42h38f115c_0    conda-forge
r-scales                  1.2.1             r42hc72bb7e_1    conda-forge
r-scattermore             0.8               r42h06615bd_1    conda-forge
r-sctransform             0.3.5             r42h9f5de39_1    conda-forge
r-sessioninfo             1.2.2             r42hc72bb7e_1    conda-forge
r-seurat                  4.3.0             r42h38f115c_0    conda-forge
r-seuratobject            4.1.3             r42h38f115c_0    conda-forge
r-shades                  1.4.0             r42hc72bb7e_3    conda-forge
r-shiny                   1.7.4             r42h785f33e_0    conda-forge
r-sitmo                   2.0.2             r42h7525677_1    conda-forge
r-snow                    0.4_4             r42hc72bb7e_1    conda-forge
r-sourcetools             0.1.7_1           r42h38f115c_0    conda-forge
r-sp                      1.6_0             r42h133d619_0    conda-forge
r-sparsem                 1.81              r42h8da6f51_1    conda-forge
r-spatstat.data           3.0_1             r42hc72bb7e_0    conda-forge
r-spatstat.explore        3.1_0             r42h133d619_0    conda-forge
r-spatstat.geom           3.1_0             r42h133d619_0    conda-forge
r-spatstat.random         3.1_4             r42h38f115c_0    conda-forge
r-spatstat.sparse         3.0_1             r42h133d619_0    conda-forge
r-spatstat.utils          3.0_2             r42h133d619_0    conda-forge
r-squarem                 2021.1            r42hc72bb7e_1    conda-forge
r-statmod                 1.5.0             r42h74f4db8_0    conda-forge
r-stringi                 1.7.12            r42h1ae9187_0    conda-forge
r-stringr                 1.5.0             r42h785f33e_0    conda-forge
r-survival                3.5_5             r42h133d619_0    conda-forge
r-sys                     3.4.1             r42h06615bd_0    conda-forge
r-systemfonts             1.0.4             r42h0ff29ef_1    conda-forge
r-tensor                  1.5             r42hc72bb7e_1004    conda-forge
r-testthat                3.1.7             r42h38f115c_0    conda-forge
r-textshaping             0.3.6             r42hbb20487_4    conda-forge
r-tibble                  3.2.0             r42h133d619_0    conda-forge
r-tidyr                   1.3.0             r42h38f115c_0    conda-forge
r-tidyselect              1.2.0             r42hc72bb7e_0    conda-forge
r-timechange              0.2.0             r42h38f115c_0    conda-forge
r-timedate                4022.108          r42hc72bb7e_0    conda-forge
r-tinytex                 0.44              r42hc72bb7e_0    conda-forge
r-tmvtnorm                1.5               r42h61816a4_2    conda-forge
r-triebeard               0.3.0             r42h884c59f_0  
r-truncnorm               1.0_9             r42h57805ef_1    conda-forge
r-tweenr                  2.0.2             r42h7525677_1    conda-forge
r-tzdb                    0.3.0             r42h7525677_1    conda-forge
r-urlchecker              1.0.1             r42hc72bb7e_1    conda-forge
r-urltools                1.7.3             r42h884c59f_0  
r-usethis                 2.1.6             r42hc72bb7e_1    conda-forge
r-utf8                    1.2.3             r42h133d619_0    conda-forge
r-uuid                    1.1_0             r42h76d94ec_0    r
r-uwot                    0.1.14            r42h7525677_1    conda-forge
r-vcd                     1.4_11            r42hc72bb7e_1    conda-forge
r-vctrs                   0.6.0             r42h38f115c_0    conda-forge
r-vim                     6.2.2             r42ha503ecb_2    conda-forge
r-viridis                 0.6.2             r42hc72bb7e_1    conda-forge
r-viridislite             0.4.1             r42hc72bb7e_1    conda-forge
r-vroom                   1.6.1             r42h38f115c_0    conda-forge
r-waldo                   0.4.0             r42hc72bb7e_1    conda-forge
r-whisker                 0.4.1             r42hc72bb7e_0    conda-forge
r-withr                   2.5.0             r42hc72bb7e_1    conda-forge
r-xfun                    0.37              r42h38f115c_0    conda-forge
r-xml                     3.99_0.13         r42hed7f998_0    conda-forge
r-xml2                    1.3.3             r42h044e5c7_2    conda-forge
r-xopen                   1.0.0           r42hc72bb7e_1004    conda-forge
r-xtable                  1.8_4             r42hc72bb7e_4    conda-forge
r-yaml                    2.3.7             r42h133d619_0    conda-forge
r-zcompositions           1.4.1             r42hc72bb7e_0    conda-forge
r-zip                     2.2.2             r42h06615bd_0    conda-forge
r-zoo                     1.8_11            r42h06615bd_1    conda-forge
readline                  8.1.2                h8228510_1    conda-forge
referencing               0.33.0             pyhd8ed1ab_0    conda-forge
requests                  2.31.0             pyhd8ed1ab_0    conda-forge
rfc3339-validator         0.1.4              pyhd8ed1ab_0    conda-forge
rfc3986-validator         0.1.1              pyh9f0ad1d_0    conda-forge
rpds-py                   0.18.0          py311h46250e7_0    conda-forge
sed                       4.8                  he412f7d_0    conda-forge
send2trash                1.8.2              pyh41d4057_0    conda-forge
setuptools                67.6.0             pyhd8ed1ab_0    conda-forge
six                       1.16.0             pyh6c4a22f_0    conda-forge
sniffio                   1.3.1              pyhd8ed1ab_0    conda-forge
soupsieve                 2.5                pyhd8ed1ab_1    conda-forge
stack_data                0.6.2              pyhd8ed1ab_0    conda-forge
sysroot_linux-64          2.12                he073ed8_15    conda-forge
terminado                 0.18.0             pyh0d859eb_0    conda-forge
tinycss2                  1.2.1              pyhd8ed1ab_0    conda-forge
tk                        8.6.12               h27826a3_0    conda-forge
tktable                   2.10                 hb7b940f_3    conda-forge
toml                      0.10.2             pyhd8ed1ab_0    conda-forge
tomli                     2.0.1              pyhd8ed1ab_0    conda-forge
tornado                   6.4             py311h459d7ec_0    conda-forge
traitlets                 5.14.1             pyhd8ed1ab_0    conda-forge
types-python-dateutil     2.8.19.20240311    pyhd8ed1ab_0    conda-forge
typing-extensions         4.10.0               hd8ed1ab_0    conda-forge
typing_extensions         4.10.0             pyha770c72_0    conda-forge
typing_utils              0.1.0              pyhd8ed1ab_0    conda-forge
tzdata                    2022g                h191b570_0    conda-forge
uri-template              1.3.0              pyhd8ed1ab_0    conda-forge
urllib3                   2.2.1              pyhd8ed1ab_0    conda-forge
wcwidth                   0.2.13             pyhd8ed1ab_0    conda-forge
webcolors                 1.13               pyhd8ed1ab_0    conda-forge
webencodings              0.5.1              pyhd8ed1ab_2    conda-forge
websocket-client          1.7.0              pyhd8ed1ab_0    conda-forge
wheel                     0.40.0             pyhd8ed1ab_0    conda-forge
widgetsnbextension        4.0.10             pyhd8ed1ab_0    conda-forge
xmltodict                 0.13.0             pyhd8ed1ab_0    conda-forge
xorg-kbproto              1.0.7             h7f98852_1002    conda-forge
xorg-libice               1.0.10               h7f98852_0    conda-forge
xorg-libsm                1.2.3             hd9c2040_1000    conda-forge
xorg-libx11               1.8.4                h0b41bf4_0    conda-forge
xorg-libxau               1.0.9                h7f98852_0    conda-forge
xorg-libxdmcp             1.1.3                h7f98852_0    conda-forge
xorg-libxext              1.3.4                h0b41bf4_2    conda-forge
xorg-libxrender           0.9.10            h7f98852_1003    conda-forge
xorg-libxt                1.2.1                h7f98852_2    conda-forge
xorg-renderproto          0.11.1            h7f98852_1002    conda-forge
xorg-xextproto            7.3.0             h0b41bf4_1003    conda-forge
xorg-xproto               7.0.31            h7f98852_1007    conda-forge
xz                        5.2.6                h166bdaf_0    conda-forge
yaml                      0.2.5                h7f98852_2    conda-forge
yq                        3.1.1              pyhd8ed1ab_0    conda-forge
zeromq                    4.3.4                h2531618_0    anaconda
zipp                      3.17.0             pyhd8ed1ab_0    conda-forge
zlib                      1.2.13               h166bdaf_4    conda-forge
zstd                      1.5.2                h3eb15da_6    conda-forge
